query_index,query_id,timepoint,recall,ndcg,density_log_distortion,zero_recall,seconds
4689,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4689,6-7,0.06666666666666667,0.06077222973772036,0.102049455,False,0.06896042171865702
4983,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4983,8-9,0.0,0.0,0.18390346,True,0.0692401910200715
36,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:36,0-1,0.0,0.0,0.15004247,True,0.06884382106363773
1311,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:1311,2-3,0.06666666666666667,0.10764243204553911,0.9353054,False,0.0684324111789465
2423,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2423,4-5,0.06666666666666667,0.05135849223864361,0.2812287,False,0.06871229317039251
4791,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4791,6-7,0.0,0.0,0.5858215,True,0.06892186217010021
5810,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5810,8-9,0.0,0.0,0.4059973,True,0.06892787851393223
653,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:653,0-1,0.0,0.0,0.17905638,True,0.06809632945805788
1628,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:1628,2-3,0.3333333333333333,0.29141780891410696,0.24624315,False,0.06856583710759878
2418,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2418,4-5,0.0,0.0,0.45365328,True,0.06845017988234758
3975,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:3975,6-7,0.6,0.5424472904063992,0.22284126,False,0.06889552716165781
5442,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5442,8-9,0.06666666666666667,0.08530460913930238,0.2078239,False,0.06903787888586521
325,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:325,0-1,0.06666666666666667,0.0475902379018706,0.6648015,False,0.06866439059376717
1094,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:1094,2-3,0.06666666666666667,0.10764243204553911,0.09064986,False,0.06874436046928167
2486,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2486,4-5,0.0,0.0,0.081488594,True,0.06860747188329697
4613,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4613,6-7,0.0,0.0,0.603357,True,0.06905398704111576
5992,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5992,8-9,0.0,0.0,0.25387523,True,0.06937664840370417
199,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:199,0-1,0.0,0.0,0.37038907,True,0.06885985657572746
1532,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:1532,2-3,0.06666666666666667,0.05686973942620158,0.2016635,False,0.06892645731568336
3443,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:3443,4-5,0.06666666666666667,0.07347739090382172,0.07270051,False,0.06897959858179092
3723,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:3723,6-7,0.0,0.0,0.20398155,True,0.0689414031803608
6015,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:6015,8-9,0.0,0.0,0.06892653,True,0.06828763615339994
94,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:94,0-1,0.06666666666666667,0.049317124049935504,0.33209336,False,0.06914271507412195
