stage,context,teacher,w,scale,group,n,recall,ndcg,density,zero_recall,seconds,macro_recall,evaluation_seconds
confirmation,temporal0,FitGrid,1.0,1,8-9,2000,0.002,0.0016689581697971114,2.9192612171173096,0.9845,138.13374216202646,0.0024000000000000002,0.5021269684657454
confirmation,temporal0,FitGrid,1.0,2,micro,4000,0.0021333333333333334,0.0017177057502184517,5.134830951690674,0.98475,279.4211852066219,0.0021333333333333334,0.5018174108117819
confirmation,temporal0,FitGrid,1.0,2,4-5,2000,0.0024333333333333334,0.0019949088234224813,5.254560470581055,0.985,139.71543559711426,0.0021333333333333334,0.5018174108117819
confirmation,temporal0,FitGrid,1.0,2,8-9,2000,0.0018333333333333333,0.0014405026770144226,5.015101432800293,0.9845,139.70574960950762,0.0021333333333333334,0.5018174108117819
confirmation,temporal1,Uniform,0.5,2,micro,4000,0.10928333333333333,0.11423187995884662,0.2844837009906769,0.2735,273.13765245396644,0.10928333333333334,0.5292807929217815
confirmation,temporal1,Uniform,0.5,2,4-5,2000,0.10089999999999999,0.1058744286897194,0.2856448292732239,0.285,136.56463674921542,0.10928333333333334,0.5292807929217815
confirmation,temporal1,Uniform,0.5,2,8-9,2000,0.11766666666666666,0.12258933122797383,0.2833225131034851,0.262,136.57301570475101,0.10928333333333334,0.5292807929217815
confirmation,temporal1,FitGrid,0.5,2,micro,4000,0.1104,0.11649984931244857,0.2825917899608612,0.27025,278.1175558725372,0.1104,0.5279263015836477
confirmation,temporal1,FitGrid,0.5,2,4-5,2000,0.10226666666666667,0.10855189412272913,0.2851501703262329,0.2795,139.05754108075052,0.1104,0.5279263015836477
confirmation,temporal1,FitGrid,0.5,2,8-9,2000,0.11853333333333334,0.12444780450216801,0.2800333499908447,0.261,139.06001479178667,0.1104,0.5279263015836477
transfer,existing,Uniform,0.5,2,micro,2000,0.08883333333333333,0.09305140468706212,0.26815465092658997,0.349,137.1905230106786,0.08883333333333333,0.37969390396028757
transfer,existing,Uniform,0.5,2,0-1,400,0.0705,0.07668536128636969,0.2678024172782898,0.4175,27.452176521532238,0.08883333333333333,0.37969390396028757
transfer,existing,Uniform,0.5,2,2-3,400,0.10400000000000001,0.10657075060273162,0.28038865327835083,0.2575,27.432279487140477,0.08883333333333333,0.37969390396028757
transfer,existing,Uniform,0.5,2,4-5,400,0.08033333333333333,0.08349248604947128,0.2567530572414398,0.3775,27.43769528158009,0.08883333333333333,0.37969390396028757
transfer,existing,Uniform,0.5,2,6-7,400,0.11083333333333334,0.11691971663176816,0.25527557730674744,0.315,27.442552456632257,0.08883333333333333,0.37969390396028757
transfer,existing,Uniform,0.5,2,8-9,400,0.0785,0.08158870886496981,0.28055351972579956,0.3775,27.425819263793528,0.08883333333333333,0.37969390396028757
transfer,existing,FitGrid,0.5,2,micro,2000,0.08929999999999998,0.09343121216902041,0.269553542137146,0.3505,137.16174737550318,0.0893,0.33499004133045673
transfer,existing,FitGrid,0.5,2,0-1,400,0.07166666666666666,0.07712290556922002,0.272604376077652,0.4,27.44896803703159,0.0893,0.33499004133045673
transfer,existing,FitGrid,0.5,2,2-3,400,0.10083333333333334,0.10637489904037555,0.27858179807662964,0.28,27.435087479650974,0.0893,0.33499004133045673
transfer,existing,FitGrid,0.5,2,4-5,400,0.08066666666666666,0.08236553918156102,0.25686630606651306,0.3825,27.42504391632974,0.0893,0.33499004133045673
transfer,existing,FitGrid,0.5,2,6-7,400,0.11133333333333333,0.11853549728557802,0.25580307841300964,0.3275,27.427492479793727,0.0893,0.33499004133045673
transfer,existing,FitGrid,0.5,2,8-9,400,0.08199999999999999,0.08275721976836746,0.28391221165657043,0.3625,27.42515546269715,0.0893,0.33499004133045673
