metric,method,coil20,coil100,pancreas,pancreas_batch_corrected,fashion_mnist,mnist_oos,organoid,embryoid_body,mean,median,n_datasets,mean_rank,median_rank,n_rank_datasets,wins,top2
label_knn_accuracy,numap,0.23055555555555557,0.18388888888888888,0.5605898696302629,0.5347296430861295,0.426,0.577,0.3785900783289817,0.4017080244924267,0.4116327574977806,0.4138540122462133,8,9.0,9.0,4,0.0,0.0
label_knn_accuracy,ours,0.8694444444444445,0.8866666666666667,0.9747809360974568,0.9587518700577047,0.764,0.942,0.49216710182767626,0.6851434096036094,0.8216193035871948,0.8780555555555556,8,1.125,1.0,4,4.0,4.0
label_knn_accuracy,ours_oracle_neighbors,0.8694444444444445,0.8866666666666667,0.9737123316948065,0.9598204744603548,0.7625,0.9395,0.49216710182767626,0.6828875281985176,0.8208373184115583,0.8780555555555556,8,2.125,2.0,4,1.0,3.0
label_knn_accuracy,paramrepulsor,0.825,0.8072222222222222,0.9638811711904253,0.930540713827741,0.7115,0.8225,0.3981723237597911,0.6688688366097325,0.765960658451239,0.814861111111111,8,6.75,7.0,4,0.0,0.0
label_knn_accuracy,reduced_repulsion_umap,NaN,NaN,NaN,NaN,0.756,0.9345,0.47911227154047,0.6735417338059942,0.7107885013366161,0.7147708669029971,4,4.0,4.0,4,0.0,0.0
label_knn_accuracy,spectral_only,0.7,0.71,0.7764479589655909,0.8516777089121608,0.6395,0.628,0.37989556135770236,0.5349661617789236,0.6525609238767972,0.66975,8,8.0,8.0,4,0.0,0.0
label_knn_accuracy,standard_umap,0.8527777777777777,0.8683333333333333,0.961530241504595,0.9354562940799316,0.7575,0.932,0.46475195822454307,0.6704801804705124,0.8053537231738366,0.8605555555555555,8,4.75,5.0,4,0.0,0.0
label_knn_accuracy,weighted_knn,NaN,NaN,NaN,NaN,0.743,0.9005,0.4608355091383812,0.6461488881727361,0.6876210993277794,0.694574444086368,4,6.25,6.0,4,0.0,0.0
fit_time_seconds,numap,68.1835916005075,94.44176206551492,206.55400990974158,328.74541282840073,183.45865129027516,221.71946354582906,74.67698264401406,539.1541398866102,214.61675172136165,195.00633060000837,8,4.0,4.0,4,0.0,0.0
fit_time_seconds,paramrepulsor,9.564715498127043,35.28862640541047,52.12665478605777,57.15076576452702,54.48820396326482,55.15696748252958,32.15559869911522,93.24079600349069,48.64654107531533,53.3074293746613,8,3.0,3.0,4,0.0,0.0
fit_time_seconds,reduced_repulsion_umap,NaN,NaN,NaN,NaN,21.51343897730112,10.036383426748216,6.823890786617994,18.48510859813541,14.214705447200686,14.260746012441814,4,1.25,1.0,4,3.0,4.0
fit_time_seconds,standard_umap,NaN,NaN,NaN,NaN,15.199258425273001,10.712569172494113,9.078072676435113,19.634349490515888,13.656062441179529,12.955913798883557,4,1.75,2.0,4,1.0,4.0
mean_query_latency_seconds,no_repulsion,0.032786239753477275,0.03162740914099332,0.03595356252498257,0.03043845723112231,0.031256744207348676,0.1516205161730759,0.14814032241580496,0.03189975036250543,0.061715375226163806,0.032342995057991354,8,4.0,4.0,4,0.0,0.0
mean_query_latency_seconds,numap,0.0019007691363286641,0.00034655132123993505,0.00014997245717995135,0.00015038067304182318,5.204615416005254e-05,0.0003053563171997666,0.0008944680576283222,0.00011195985302016922,0.0004889379962248355,0.0002278684951207949,8,2.25,2.5,4,1.0,2.0
mean_query_latency_seconds,ours,0.08365976860643261,0.08117086206614557,0.08900469672241369,0.08062151439653538,0.08465528387669474,0.3566884375717491,0.35323837182822565,0.08636873875811571,0.15192595922828905,0.08551201131740523,8,5.25,5.0,4,0.0,0.0
mean_query_latency_seconds,ours_oracle_neighbors,0.08361580579852064,0.20021089475912351,0.19998969242444886,0.2000014029216753,0.20447841995302588,0.4021591167668812,0.34539415482212804,0.1999910014943837,0.2294800611175234,0.2001061488403994,8,5.75,6.0,4,0.0,0.0
mean_query_latency_seconds,paramrepulsor,0.0002522055758163333,4.692942007548279e-05,1.9723692995267793e-05,2.9261288063715707e-05,5.3022739943116905e-05,5.1798727829009295e-05,0.00012230823137469141,1.8119229747524503e-05,7.417111323064271e-05,4.9364073952246044e-05,8,1.25,1.0,4,3.0,4.0
mean_query_latency_seconds,weighted_knn,NaN,NaN,NaN,NaN,0.00034206122951582074,0.00025203095888718963,0.0002912068386943938,0.0003890335282819274,0.00031858313884483287,0.0003166340341051073,4,2.5,2.5,4,0.0,2.0
local_displacement,no_repulsion,0.22080719017163486,0.3035169247215519,0.41679020578432646,0.30200129921822566,0.2613894459372523,0.26128419093813504,0.359095506970468,0.31223335274951836,0.3046397645613891,0.3027591119698888,8,1.0,1.0,8,8.0,8.0
local_displacement,ours,0.2667951029096953,0.30782662937016336,0.43502234129973927,0.4009813900978557,0.2845988152159605,0.282414811442669,0.41747073921158434,0.3502894403521624,0.34317490873747875,0.3290580348611629,8,3.0,3.0,8,0.0,0.0
