dataset,baseline,metric,scope,family,ours_source,baseline_source,status,n_pairs,n_dropped,ours_mean,baseline_mean,mean_improvement,median_improvement,ci_low,ci_high,fraction_ours_better,fraction_tied,p_value,test,n_bootstrap,n_permutations,seed,direction,p_holm
coil100,numap,recall_at_15,full,exploratory_recall_at_15,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/coil100/numap/advanced_per_query.csv,ok,1800,0,0.6938148148148148,0.0685925925925926,0.6252222222222222,0.6666666666666666,0.6144814814814814,0.6357787037037037,0.985,0.005555555555555556,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,5172630919804629949,higher,0.0047995200479952005
coil100,numap,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/coil100/numap/advanced_per_query.csv,ok,1800,0,0.7478108021020754,0.09586313333822154,0.651947668763854,0.6921739189488691,0.641500892434353,0.6624740502690604,0.9888888888888889,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,4956707392854625365,higher,0.005599440055994401
coil100,paramrepulsor,recall_at_15,full,exploratory_recall_at_15,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/coil100/paramrepulsor/advanced_per_query.csv,ok,1800,0,0.6938148148148148,0.44370370370370377,0.2501111111111111,0.20000000000000007,0.23807314814814812,0.2627777777777778,0.7916666666666666,0.08944444444444444,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,15385254185479782387,higher,0.0047995200479952005
coil100,paramrepulsor,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/coil100/paramrepulsor/advanced_per_query.csv,ok,1800,0,0.7478108021020754,0.5856655936596308,0.16214520844244462,0.09941004171834872,0.1519095740222098,0.172384511803604,0.7905555555555556,0.01,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,15267530956646683593,higher,0.005599440055994401
pancreas,ours_oracle_neighbors,recall_at_15,full,exploratory_recall_at_15,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,ok,4679,0,0.2365462705706348,0.2366602550402508,-0.00011398446961601463,0.0,-0.0011540927548621498,0.0009261238156301204,0.07095533233596922,0.8553109638811712,0.844015598440156,monte_carlo_sign_flip_plus_one,10000,10000,5757359348723941321,higher,1.0
pancreas,ours_oracle_neighbors,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,ok,4679,0,0.3209751878140304,0.32034123207990517,0.0006339557341251511,0.0,-0.0002686805424043478,0.0015323942907694212,0.2524043599059628,0.515281042957897,0.17748225177482252,monte_carlo_sign_flip_plus_one,10000,10000,12486489859373734519,higher,1.0
pancreas,ours_oracle_neighbors,local_displacement,full,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,ok,4679,0,0.43502234129973927,0.42354721977959475,-0.011475121520144491,0.0,-0.014366658831225837,-0.008866690405555804,0.3293438768967728,0.18572344518059414,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,8226226365038678136,lower,0.003999600039996
pancreas,no_repulsion,recall_at_15,full,exploratory_recall_at_15,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,ok,4679,0,0.2365462705706348,0.23581961957683262,0.0007266509938020942,0.0,-0.0009261238156301201,0.0023085417111918458,0.1908527463133148,0.6236375293866211,0.39286071392860716,monte_carlo_sign_flip_plus_one,10000,10000,12106862592041411741,higher,1.0
pancreas,no_repulsion,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,ok,4679,0,0.3209751878140304,0.3228471674870938,-0.001871979673063432,0.0,-0.003296850658712105,-0.0004648228845113624,0.469544774524471,0.04317161786706561,0.010198980101989802,monte_carlo_sign_flip_plus_one,10000,10000,1717779656872264721,higher,0.19378062193780624
pancreas,no_repulsion,local_displacement,full,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,ok,4679,0,0.43502234129973927,0.41679020578432646,-0.01823213551541279,-0.004114420593039125,-0.020768633314167347,-0.015640070035579885,0.3814917717460996,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,10657888470452756397,lower,0.003999600039996
