method,query_index,label,recall_at_5,recall_at_10,recall_at_15,recall_at_30,ndcg
ours_full,247,gamma,0.0,0.1,0.06666666666666667,0.16666666666666666,0.1311326831264309
ours_full,248,gamma,0.2,0.1,0.06666666666666667,0.23333333333333334,0.22231057091740467
ours_full,249,gamma,0.0,0.0,0.0,0.23333333333333334,0.1971975775115505
ours_full,250,gamma,0.2,0.1,0.13333333333333333,0.1,0.09790280702031898
ours_full,251,gamma,0.0,0.1,0.2,0.16666666666666666,0.19797885670776702
ours_full,252,gamma,0.0,0.0,0.0,0.26666666666666666,0.21829859791818504
ours_full,253,gamma,0.2,0.1,0.06666666666666667,0.16666666666666666,0.2401782934464755
ours_full,254,gamma,0.0,0.2,0.13333333333333333,0.16666666666666666,0.20554087096828233
ours_full,255,gamma,0.0,0.1,0.06666666666666667,0.1,0.1198933310549892
ours_full,256,gamma,0.0,0.0,0.06666666666666667,0.26666666666666666,0.2005199434363906
ours_full,257,gamma,0.0,0.1,0.06666666666666667,0.2,0.15860373973093567
ours_full,258,gamma,0.0,0.1,0.13333333333333333,0.23333333333333334,0.21066057208260855
ours_full,259,gamma,0.0,0.1,0.06666666666666667,0.16666666666666666,0.19071112182718802
ours_full,260,gamma,0.0,0.1,0.06666666666666667,0.16666666666666666,0.23179052169856545
ours_full,261,gamma,0.0,0.0,0.13333333333333333,0.23333333333333334,0.23780132047683109
ours_full,262,gamma,0.2,0.2,0.2,0.3333333333333333,0.32404135893934416
ours_full,263,gamma,0.2,0.1,0.2,0.23333333333333334,0.3349866011591232
ours_full,264,gamma,0.0,0.2,0.2,0.2,0.2583366068644087
ours_full,265,gamma,0.2,0.3,0.26666666666666666,0.3,0.29731138007204033
ours_full,266,gamma,0.0,0.1,0.06666666666666667,0.3,0.2703635483747575
ours_full,267,gamma,0.0,0.0,0.06666666666666667,0.23333333333333334,0.23156692357718
ours_full,268,gamma,0.0,0.0,0.0,0.03333333333333333,0.028668581747809112
ours_full,269,gamma,0.0,0.0,0.2,0.2,0.18296428702571432
ours_full,270,gamma,0.0,0.1,0.2,0.23333333333333334,0.21246646436045655
ours_full,271,gamma,0.0,0.2,0.2,0.23333333333333334,0.2182171594380294
ours_full,272,gamma,0.2,0.4,0.26666666666666666,0.36666666666666664,0.4357091137663214
