query_index,celltype,tech,x,y,recall_at_5,recall_at_15
386,acinar,celseq2,6.7365017,0.2766586,0.2,0.2
387,acinar,celseq2,6.4670978,0.15289137,0.0,0.0666666666666666
388,acinar,celseq2,6.649785,0.39477393,0.0,0.0666666666666666
389,acinar,celseq2,7.0990014,0.5701526,0.0,0.1333333333333333
390,acinar,celseq2,6.042422,0.8542868,0.0,0.1333333333333333
391,acinar,celseq2,6.549221,0.22066152,0.0,0.0666666666666666
392,acinar,celseq2,6.9689984,0.3812959,0.2,0.1333333333333333
393,acinar,celseq2,6.8263397,0.80944973,0.0,0.0666666666666666
394,acinar,celseq2,6.7265263,0.33904725,0.0,0.0666666666666666
395,acinar,celseq2,6.8488255,0.20513122,0.0,0.1333333333333333
396,acinar,celseq2,6.8194547,0.51262283,0.0,0.1333333333333333
397,acinar,celseq2,6.802489,0.5106804,0.2,0.2
398,acinar,celseq2,7.150835,0.44161722,0.0,0.2
399,acinar,celseq2,5.3431363,1.1892616,0.0,0.2666666666666666
400,acinar,celseq2,7.10778,0.23585325,0.0,0.3333333333333333
401,acinar,celseq2,6.197878,0.6684475,0.0,0.1333333333333333
402,acinar,celseq2,6.955179,0.08430005,0.0,0.0666666666666666
403,acinar,celseq2,6.6436653,0.28907585,0.2,0.0666666666666666
404,acinar,celseq2,4.746553,15.3365135,0.0,0.0
405,acinar,celseq2,5.6309814,1.0084542,0.0,0.0
406,acinar,celseq2,6.9128184,0.5211633,0.2,0.0666666666666666
407,acinar,celseq2,6.411422,0.38073456,0.0,0.0666666666666666
408,acinar,celseq2,6.9116287,0.7001368,0.0,0.2
409,acinar,celseq2,6.421571,0.39908317,0.0,0.1333333333333333
410,acinar,celseq2,6.3353095,0.63101375,0.0,0.0
411,acinar,celseq2,6.528439,0.27298105,0.0,0.2
412,acinar,celseq2,6.913609,0.7813333,0.2,0.0666666666666666
413,acinar,celseq2,6.869543,0.43781543,0.0,0.1333333333333333
414,acinar,celseq2,6.8821397,0.59632105,0.0,0.0666666666666666
415,acinar,celseq2,6.91131,0.5148442,0.0,0.0666666666666666
416,acinar,celseq2,5.900181,1.2690192,0.2,0.0666666666666666
417,acinar,celseq2,6.44323,0.5569376,0.2,0.0666666666666666
418,acinar,celseq2,6.320545,0.55784255,0.0,0.0
419,acinar,celseq2,5.782275,1.0200952,0.0,0.0666666666666666
420,acinar,celseq2,6.4036374,0.07656768,0.0,0.0
