query_index,label,recall_at_5_standard_umap,recall_at_15_standard_umap,recall_at_5_umaping,recall_at_15_umaping,delta_recall_at_5,delta_recall_at_15
243,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
244,gamma,0.4,0.2666666666666666,0.0,0.1333333333333333,-0.4,-0.1333333333333333
245,gamma,0.0,0.2666666666666666,0.0,0.0666666666666666,0.0,-0.2
246,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
247,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
248,gamma,0.0,0.0666666666666666,0.2,0.0666666666666666,0.2,0.0
249,gamma,0.0,0.0,0.0,0.0,0.0,0.0
250,gamma,0.0,0.1333333333333333,0.2,0.1333333333333333,0.2,0.0
251,gamma,0.0,0.0666666666666666,0.0,0.2,0.0,0.13333333333333341
252,gamma,0.0,0.0,0.0,0.0,0.0,0.0
253,gamma,0.0,0.2,0.2,0.0666666666666666,0.2,-0.13333333333333341
254,gamma,0.0,0.2,0.0,0.1333333333333333,0.0,-0.06666666666666671
255,gamma,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
256,gamma,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
257,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
258,gamma,0.0,0.1333333333333333,0.0,0.1333333333333333,0.0,0.0
259,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
260,gamma,0.0,0.1333333333333333,0.0,0.0666666666666666,0.0,-0.06666666666666671
261,gamma,0.0,0.0,0.0,0.1333333333333333,0.0,0.1333333333333333
262,gamma,0.0,0.1333333333333333,0.2,0.2,0.2,0.06666666666666671
263,gamma,0.0,0.2666666666666666,0.2,0.2,0.2,-0.0666666666666666
264,gamma,0.0,0.2,0.0,0.2,0.0,0.0
265,gamma,0.0,0.0666666666666666,0.2,0.2666666666666666,0.2,0.2
266,gamma,0.0,0.2,0.0,0.0666666666666666,0.0,-0.13333333333333341
267,gamma,0.2,0.1333333333333333,0.0,0.0666666666666666,-0.2,-0.06666666666666671
268,gamma,0.0,0.0,0.0,0.0,0.0,0.0
269,gamma,0.0,0.2666666666666666,0.0,0.2,0.0,-0.0666666666666666
270,gamma,0.0,0.1333333333333333,0.0,0.2,0.0,0.06666666666666671
271,gamma,0.0,0.0,0.0,0.2,0.0,0.2
272,gamma,0.0,0.1333333333333333,0.2,0.2666666666666666,0.2,0.1333333333333333
273,gamma,0.0,0.0666666666666666,0.2,0.1333333333333333,0.2,0.06666666666666671
274,gamma,0.0,0.2666666666666666,0.2,0.1333333333333333,0.2,-0.1333333333333333
275,gamma,0.0,0.0,0.0,0.1333333333333333,0.0,0.1333333333333333
276,gamma,0.0,0.2,0.2,0.2,0.2,0.0
277,gamma,0.0,0.0,0.2,0.0666666666666666,0.2,0.0666666666666666
278,gamma,0.0,0.0,0.0,0.1333333333333333,0.0,0.1333333333333333
279,gamma,0.0,0.0666666666666666,0.2,0.1333333333333333,0.2,0.06666666666666671
280,gamma,0.2,0.2,0.2,0.2666666666666666,0.0,0.0666666666666666
281,gamma,0.0,0.0666666666666666,0.0,0.2,0.0,0.13333333333333341
282,gamma,0.0,0.2,0.0,0.0,0.0,-0.2
