split,group,n,recall5,recall15,within_recall5,within_recall15,log_radius5,log_radius15,abs_log_radius5,abs_log_radius15,within_log_radius15,within_abs_log_radius15,wrong_turn15,wrong_branch15,bridge_near_recall15,bridge_edge_loss15,bridge_true_edges15,bridge_cross_edge_loss15,bridge_cross_true_edges15,log_radius15_q10,log_radius15_q90,scale,method,condition,seed
reference,B_tree,1332,0.6069069069069069,0.7564564564564564,0.6069069069069069,0.7584084084084084,-0.443572663592951,0.13617069272337087,0.5576899326722553,0.3523586867410004,0.13928016297783868,0.3547018229799485,0.0,0.0,0.7272727272727273,0.3793103448275862,29,0.3793103448275862,29,-0.39799771616817275,0.6068139589691834,0.5151068407105742,uniform,sparse_bridge,0
reference,bridge_AB,160,0.89375,0.8583333333333334,0.9112500000000001,0.93,-0.17567105998300875,-0.07915414970174009,0.33356279532386635,0.21635139291928224,0.001170566148871166,0.267447924169065,0.0,0.0,0.8583333333333334,0.14166666666666666,2400,0.30952380952380953,84,-0.3679875398552896,0.28770230147089587,0.5151068407105742,uniform,sparse_bridge,0
reference,B_branch_0,180,0.6233333333333333,0.7414814814814815,0.6233333333333333,0.742962962962963,-0.641257511004374,-0.023740533788725513,0.713401715105596,0.3802930164052384,-0.022588091259874925,0.38144545893408904,0.0,0.0,,,0,,0,-0.5812631093813323,0.6133721340818452,0.5151068407105742,uniform,sparse_bridge,0
reference,B_branch_1,170,0.5882352941176471,0.7635294117647059,0.5882352941176471,0.7635294117647059,-0.16654906125807156,0.34018784746056185,0.41188248985926357,0.37400433792183974,0.34018784746056185,0.37400433792183974,0.0,0.0,,,0,,0,-0.061418024991620065,0.7277728780065019,0.5151068407105742,uniform,sparse_bridge,0
reference,B_branch_2,170,0.5752941176470588,0.7470588235294118,0.5752941176470588,0.7513725490196078,-0.3260440726659281,0.31037547568521906,0.4037433064007704,0.37147637752655566,0.32028820825237597,0.3813891100937126,0.0,0.0,,,0,,0,-0.1416297171823385,0.8329270326342151,0.5151068407105742,uniform,sparse_bridge,0
reference,B_branch_3,212,0.6094339622641509,0.7584905660377359,0.6094339622641509,0.7635220125786163,-0.45001712443556474,0.15404863317198159,0.5637604895384788,0.30063509632359403,0.15680554359591692,0.2995758780627417,0.0,0.0,0.7272727272727273,0.3793103448275862,29,0.3793103448275862,29,-0.312322603893414,0.5430088316048042,0.5151068407105742,uniform,sparse_bridge,0
reference,B_branch_4,194,0.6525773195876289,0.7903780068728523,0.6525773195876289,0.7920962199312716,-0.35575133519408786,0.24642687486737813,0.4804545148082623,0.3689045703184335,0.25387552046798434,0.37635321591903975,0.0,0.0,,,0,,0,-0.11966967214039383,0.609552068472576,0.5151068407105742,uniform,sparse_bridge,0
reference,B_branch_5,194,0.5979381443298969,0.7398625429553265,0.5979381443298969,0.740893470790378,-0.491424574017971,0.06449225977966053,0.5894204253556184,0.3406936781803938,0.0656247748876474,0.3407347622188068,0.0,0.0,,,0,,0,-0.6132518201786021,0.5217915284677094,0.5151068407105742,uniform,sparse_bridge,0
reference,B_branch_6,212,0.5971698113207548,0.7531446540880503,0.5971698113207548,0.7531446540880503,-0.6222445584455856,-0.08452702122296114,0.7014213870862294,0.3432104034456037,-0.08452702122296114,0.3432104034456037,0.0,0.0,,,0,,0,-0.6991464404996353,0.37470921020114134,0.5151068407105742,uniform,sparse_bridge,0
reference,bridge_near,179,0.853631284916201,0.8499068901303538,0.8715083798882681,0.9232774674115457,-0.3194606852973404,-0.11960372434846751,0.4605929626969896,0.2422381316937566,-0.040688907758256065,0.2828054954087777,0.0,0.0,0.8499068901303538,0.14884099227328182,2459,0.36363636363636365,143,-0.40389013133730833,0.28086051296439907,0.5151068407105742,uniform,sparse_bridge,0
query,all,1413,0.6527954706298654,0.8160415192262327,0.654069355980184,0.8214201462609106,-0.5571271728230052,-0.03683610610168496,0.627370951417075,0.2970001745711123,-0.027197384540609024,0.30280801014513914,0.0037272941731540457,0.0,0.8629213483146065,0.1402936378466558,1226,0.42105263157894735,57,-0.49480020558836124,0.42034847772342443,0.5151068407105742,uniform,sparse_bridge,0
