split,group,n,recall5,recall15,within_recall5,within_recall15,log_radius5,log_radius15,abs_log_radius5,abs_log_radius15,within_log_radius15,within_abs_log_radius15,wrong_turn15,wrong_branch15,bridge_near_recall15,bridge_edge_loss15,bridge_true_edges15,bridge_cross_edge_loss15,bridge_cross_true_edges15,log_radius15_q10,log_radius15_q90,scale,method,condition,seed
reference,B_tree,1332,0.6037537537537538,0.7570070070070071,0.6037537537537538,0.7570070070070071,-0.5085958532023297,0.0431221365463628,0.5870277147267318,0.3113132639421862,0.0432206635998019,0.3114117909956253,0.0,0.0,,,0,,0,-0.4477393818901201,0.4952252009974806,0.580929522066829,uniform,disconnected,0
reference,C_ellipse,1334,0.7496251874062968,0.748975512243878,0.7496251874062968,0.748975512243878,-0.6946113644892453,-0.2298597059671583,0.7554732980644544,0.4005716669000535,-0.2298597059671583,0.4005716669000535,0.0,0.0,,,0,,0,-0.901869181448807,0.3110263750513027,0.580929522066829,uniform,disconnected,0
reference,B_branch_0,180,0.6177777777777778,0.7555555555555555,0.6177777777777778,0.7555555555555555,-0.705686503932315,-0.0792391030466101,0.7372578134648352,0.3472560124654122,-0.0788537535479698,0.3476413619640525,0.0,0.0,,,0,,0,-0.6103486586970979,0.4081304052269969,0.580929522066829,uniform,disconnected,0
reference,B_branch_1,170,0.5741176470588235,0.7654901960784313,0.5741176470588235,0.7654901960784313,-0.2180508601219478,0.3080542832958804,0.374015513509882,0.3452956750995823,0.3080542832958804,0.3452956750995823,0.0,0.0,,,0,,0,-0.036243057789253,0.6154745180485756,0.580929522066829,uniform,disconnected,0
reference,B_branch_2,170,0.5741176470588235,0.7458823529411764,0.5741176470588235,0.7458823529411764,-0.6168878176083917,-0.0090102853217122,0.6713809871843485,0.3085846244188506,-0.008646313995679,0.3089485957448838,0.0,0.0,,,0,,0,-0.5250100499062541,0.4196937280246053,0.580929522066829,uniform,disconnected,0
reference,B_branch_3,212,0.610377358490566,0.75125786163522,0.610377358490566,0.75125786163522,-0.4763642028251086,0.014722684391753,0.595762598455342,0.3136026248839396,0.014722684391753,0.3136026248839396,0.0,0.0,,,0,,0,-0.5667442320980293,0.4777595795961722,0.580929522066829,uniform,disconnected,0
reference,B_branch_4,194,0.6391752577319587,0.7855670103092782,0.6391752577319587,0.7855670103092782,-0.5040090374033668,-0.0131568680374399,0.5938860205338636,0.3301579384852087,-0.0131568680374399,0.3301579384852087,0.0,0.0,,,0,,0,-0.581329272230355,0.4432976187374919,0.580929522066829,uniform,disconnected,0
reference,B_branch_5,194,0.6,0.7460481099656356,0.6,0.7460481099656356,-0.5238821391095035,0.1224042614319574,0.5755973432185554,0.3361593199040847,0.1224042614319574,0.3361593199040847,0.0,0.0,,,0,,0,-0.4248323463286996,0.6294857749578066,0.580929522066829,uniform,disconnected,0
reference,B_branch_6,212,0.6037735849056604,0.75,0.6037735849056604,0.75,-0.509841657080702,-0.0162781067785445,0.5580927407255443,0.2134633481422925,-0.0162781067785445,0.2134633481422925,0.0,0.0,,,0,,0,-0.3390122772460888,0.3237719787923438,0.580929522066829,uniform,disconnected,0
query,all,2000,0.6564,0.7867666666666667,0.6564,0.7867666666666667,-0.6028484867323506,-0.1070742607208648,0.6614699175276659,0.335206271252515,-0.1070162249337682,0.3352643070396116,0.0036333333333333,0.0,,,0,,0,-0.6720400306874593,0.3853789323370544,0.580929522066829,uniform,disconnected,0
query,internal,2000,0.6564,0.7867666666666667,0.6564,0.7867666666666667,-0.6028484867323506,-0.1070742607208648,0.6614699175276659,0.335206271252515,-0.1070162249337682,0.3352643070396116,0.0036333333333333,0.0,,,0,,0,-0.6720400306874593,0.3853789323370544,0.580929522066829,uniform,disconnected,0
query,A_spiral,667,0.7130434782608696,0.8868565717141429,0.7130434782608696,0.8868565717141429,-0.5516206952588133,-0.041085824160974,0.5883253957104794,0.2703686608171784,-0.041085824160974,0.2703686608171784,0.0108945527236381,0.0,,,0,,0,-0.4607971140532321,0.3514110443219375,0.580929522066829,uniform,disconnected,0
query,B_tree,666,0.5555555555555556,0.7442442442442443,0.5555555555555556,0.7442442442442443,-0.5811075920394957,-0.0099204477699983,0.6435252925461523,0.3074626592491426,-0.0097461661270656,0.3076369408920754,0.0,0.0,,,0,,0,-0.4936521993914712,0.4636171548716339,0.580929522066829,uniform,disconnected,0
query,C_ellipse,667,0.7004497751124438,0.7291354322838579,0.7004497751124438,0.7291354322838579,-0.6757845778542256,-0.2700708523411412,0.7525321608406369,0.4277458990705293,-0.2700708523411412,0.4277458990705293,0.0,0.0,,,0,,0,-0.9968806341465236,0.2958301027198735,0.580929522066829,uniform,disconnected,0
query,B_branch_0,90,0.5577777777777777,0.742222222222222,0.5577777777777777,0.742222222222222,-0.7476793851143433,-0.1261072649788863,0.776814679433976,0.3532476038090744,-0.1248175808211838,0.3545372879667769,0.0,0.0,,,0,,0,-0.7964852030759129,0.3336145541975095,0.580929522066829,uniform,disconnected,0
query,B_branch_1,85,0.5458823529411765,0.7490196078431373,0.5458823529411765,0.7490196078431373,-0.3165276463831666,0.2291624408429393,0.4458270523420005,0.3117007167646566,0.2291624408429393,0.3117007167646566,0.0,0.0,,,0,,0,-0.1756790996811899,0.562887282388239,0.580929522066829,uniform,disconnected,0
query,B_branch_2,85,0.5388235294117647,0.7301960784313725,0.5388235294117647,0.7301960784313725,-0.639733460807623,-0.0520853594353382,0.68706376813937,0.2726526881064582,-0.0520853594353382,0.2726526881064582,0.0,0.0,,,0,,0,-0.5294466514642096,0.3166060877683255,0.580929522066829,uniform,disconnected,0
query,B_branch_3,106,0.550943396226415,0.7459119496855345,0.550943396226415,0.7459119496855345,-0.593431249925331,-0.0347614695462871,0.6652171916009311,0.3346850515855677,-0.0347614695462871,0.3346850515855677,0.0,0.0,,,0,,0,-0.5245631760446899,0.4604071310380932,0.580929522066829,uniform,disconnected,0
