seed,method,split,group,n,delta_recall15,delta_within_recall15,delta_abs_log_radius15,delta_within_abs_log_radius15,delta_log_radius15
2,pca,query,A_spiral,667,0.0,0.0,4.554078253934717e-16,4.534104226505179e-16,-6.99756760948157e-16
2,pca,query,B_tree,666,0.0,0.0,-1.171902081548776e-16,-1.3519382477042073e-16,-1.6836715538608548e-17
2,pca,query,C_ellipse,667,0.0,0.0,4.867004683663975e-16,4.873662692807154e-16,6.251870585445326e-16
2,umap,reference,internal,4000,0.002700000000000001,0.003233333333333335,-0.028871476826389932,-0.029046778133704335,0.024459719879116933
2,umap,reference,A_spiral,1334,0.0004497751124437794,0.0005497251374312854,-0.026261446443943782,-0.0260686762482017,0.028234883162807128
2,umap,reference,B_tree,1332,0.005455455455455458,0.0064564564564564605,-0.050584649688966116,-0.0515688480126836,0.01812734414385473
2,umap,reference,C_ellipse,1334,0.002198900549725137,0.0026986506746626685,-0.009800887828812496,-0.009536576361935315,0.027007438513994418
2,umap,query,internal,2000,0.0021666666666666687,0.002533333333333336,-0.02302540235511941,-0.02354577854773037,0.026683470824665875
2,umap,query,A_spiral,667,-0.0015992003998000976,-0.0012993503248375784,-0.025317213454334138,-0.025248103895425904,0.03062268401730542
2,umap,query,B_tree,666,0.004904904904904908,0.005605605605605609,-0.03474202758845212,-0.03603958517237923,0.018515803127150683
2,umap,query,C_ellipse,667,0.0031984007996002004,0.003298350824587707,-0.009034532177344592,-0.009368377919650835,0.03089967995068467
2,uniform,reference,internal,4000,-0.0013666666666666653,-0.003016666666666666,-0.011104437404337865,-0.010856777000251408,0.03984108938700895
2,uniform,reference,A_spiral,1334,-0.014842578710644675,-0.014592703648175907,-0.023008709309757455,-0.02291722091932391,-0.04478766981948941
2,uniform,reference,B_tree,1332,0.0020020020020020016,0.001301301301301302,0.0185123680297795,0.011747454548934763,0.1484693352372342
2,uniform,reference,C_ellipse,1334,0.008745627186406797,0.004247876061969015,-0.028772567926387795,-0.021366675227742625,0.016004463681588248
2,uniform,query,internal,2000,0.0030000000000000005,0.0017333333333333348,-0.015039523123949025,-0.01619210455365472,0.040598647445727803
2,uniform,query,A_spiral,667,-0.005597201399300349,-0.004997501249375311,-0.014926322058765087,-0.015234473446296484,-0.038264207238439964
2,uniform,query,B_tree,666,0.002502502502502504,0.0012012012012012022,0.004031350924696993,-0.007077181157686377,0.14802718501158663
2,uniform,query,C_ellipse,667,0.012093953023488256,0.008995502248875561,-0.034195006222713556,-0.026250993504663526,0.012194026839247942
2,fitgrid,reference,internal,4000,-0.0013666666666666653,-0.003016666666666666,-0.011104437404337865,-0.010856777000251408,0.03984108938700895
2,fitgrid,reference,A_spiral,1334,-0.014842578710644675,-0.014592703648175907,-0.023008709309757455,-0.02291722091932391,-0.04478766981948941
2,fitgrid,reference,B_tree,1332,0.0020020020020020016,0.001301301301301302,0.0185123680297795,0.011747454548934763,0.1484693352372342
2,fitgrid,reference,C_ellipse,1334,0.008745627186406797,0.004247876061969015,-0.028772567926387795,-0.021366675227742625,0.016004463681588248
2,fitgrid,query,internal,2000,0.002666666666666667,0.001333333333333334,-0.015289607208023113,-0.016438628052577803,0.04091382245415431
2,fitgrid,query,A_spiral,667,-0.005697151424287856,-0.005097451274362817,-0.014618917081402755,-0.014930086656203134,-0.03825372741598702
2,fitgrid,query,B_tree,666,0.0021021021021021048,0.0007007007007007029,0.003157107562565038,-0.008003322714095328,0.1488154504033867
2,fitgrid,query,C_ellipse,667,0.011594202898550725,0.008395802098950524,-0.034379355861197766,-0.02636982815274458,0.012341515931209033
