comparison,condition,seed,split,group,delta_within_recall15,delta_abs_log_radius15,delta_log_radius15,delta_bridge_edge_loss15
Uniform minus UMAP,sparse_bridge,1,reference,bridge_AB,-0.043749999999999845,0.1467043399245918,0.0092395443006131,0.015416666666666703
Uniform minus UMAP,sparse_bridge,1,reference,bridge_BC,-0.03541666666666676,-0.12058653627258109,0.13973167346072318,0.09833333333333338
Uniform minus UMAP,sparse_bridge,1,reference,B_branch_0,0.0022222222222222365,0.08258833371337654,-0.1408065494704622,
Uniform minus UMAP,sparse_bridge,1,reference,B_branch_1,0.012941176470588123,-0.19307005092031915,-0.25587547390243504,
Uniform minus UMAP,sparse_bridge,1,reference,B_branch_2,-0.020392156862745092,0.1643336550603549,0.145435794765025,
Uniform minus UMAP,sparse_bridge,1,reference,B_branch_3,-0.01918238993710697,0.046187177982554506,0.08750130888498692,-0.034482758620689696
Uniform minus UMAP,sparse_bridge,1,reference,B_branch_4,-0.01305841924398643,-0.05623966849642281,-0.1673304389425223,
Uniform minus UMAP,sparse_bridge,1,reference,B_branch_5,-0.008934707903779926,0.08311210910907019,0.04315075752402481,
Uniform minus UMAP,sparse_bridge,1,reference,B_branch_6,0.002830188679245116,-0.063658523366532,-0.060919327438686305,-0.411764705882353
Uniform minus UMAP,sparse_bridge,1,reference,bridge_near,-0.039513108614232406,0.005536021286311643,0.07805219347912079,0.05213849287169041
Uniform minus UMAP,sparse_bridge,1,query,all,-0.032716049382715995,0.04076726885503035,-0.0079627976243547,0.06183456183456189
Uniform minus UMAP,sparse_bridge,1,query,internal,-0.03210000000000002,0.0425271960683255,-0.0142461880212898,0.02380952380952378
Uniform minus UMAP,sparse_bridge,1,query,A_spiral,-0.03388305847076445,0.061648219261007,0.043195124605524104,-0.3333333333333333
Uniform minus UMAP,sparse_bridge,1,query,B_tree,-0.006306306306306353,0.014132175167426486,-0.04931678384484342,-0.11111111111111119
Uniform minus UMAP,sparse_bridge,1,query,C_ellipse,-0.05607196401799086,0.05175862253081459,-0.0366694844284835,0.8888888888888888
Uniform minus UMAP,sparse_bridge,1,query,bridge_AB,-0.04499999999999993,0.14452898540483092,0.0098272895171834,0.02333333333333329
Uniform minus UMAP,sparse_bridge,1,query,bridge_BC,-0.03583333333333327,-0.10699262802714993,0.1313318751574864,0.10166666666666668
Uniform minus UMAP,sparse_bridge,1,query,B_branch_0,0.007407407407407196,0.1305196638337921,-0.1640473646706628,
Uniform minus UMAP,sparse_bridge,1,query,B_branch_1,1.1102230246251565e-16,-0.1536227388341338,-0.2510201355575343,
Uniform minus UMAP,sparse_bridge,1,query,B_branch_2,-0.0117647058823529,0.15216368132170077,0.16079461558956498,
Uniform minus UMAP,sparse_bridge,1,query,B_branch_3,-0.02515723270440262,0.03566177890532318,0.0925273169482981,-0.0909090909090909
Uniform minus UMAP,sparse_bridge,1,query,B_branch_4,-0.006185567010309367,-0.012362119681306905,-0.15914621491140168,
Uniform minus UMAP,sparse_bridge,1,query,B_branch_5,-0.019243986254295575,0.052338797745157706,0.0324124672521893,
Uniform minus UMAP,sparse_bridge,1,query,B_branch_6,0.011949685534591303,-0.09310007104845491,-0.074776114118912,-0.1428571428571428
