comparison,condition,seed,split,group,delta_within_recall15,delta_abs_log_radius15,delta_log_radius15,delta_bridge_edge_loss15
Uniform minus UMAP,sparse_bridge,2,query,C_ellipse,-0.04507746126936529,0.04167578707990571,-0.004816726872705679,0.0
Uniform minus UMAP,sparse_bridge,2,query,bridge_AB,-0.03249999999999997,0.12392082927025991,0.3426003154129356,0.045000000000000005
Uniform minus UMAP,sparse_bridge,2,query,bridge_BC,-0.08499999999999985,0.23100668889611925,-0.1942546233730968,0.0866666666666667
Uniform minus UMAP,sparse_bridge,2,query,B_branch_0,-0.019999999999999796,0.06081091929584731,-0.4502629099470065,
Uniform minus UMAP,sparse_bridge,2,query,B_branch_1,-0.014901960784313717,0.001575035483799947,-0.0624610246823325,
Uniform minus UMAP,sparse_bridge,2,query,B_branch_2,-0.006274509803921635,0.0036130611534146984,-0.052251939612086795,
Uniform minus UMAP,sparse_bridge,2,query,B_branch_3,-0.010062893081761004,-0.014687019309077287,-0.046881510535591,-0.5454545454545454
Uniform minus UMAP,sparse_bridge,2,query,B_branch_4,-0.0020618556701029744,0.0201990304635265,0.1441087421943624,
Uniform minus UMAP,sparse_bridge,2,query,B_branch_5,-0.01993127147766316,0.0685333342079818,-0.09130724137195789,
Uniform minus UMAP,sparse_bridge,2,query,B_branch_6,-0.00251572327044014,0.1114391602188061,0.06992889827121321,-0.1428571428571428
Uniform minus UMAP,sparse_bridge,2,query,bridge_near,-0.05681818181818199,0.16259207032043926,0.0654473078280009,0.0634725634725635
FitGrid minus UMAP,disconnected,0,reference,all,-0.027000000000000135,0.05001587130611751,-0.06358617100014341,
FitGrid minus UMAP,disconnected,0,reference,internal,-0.027000000000000135,0.05001587130611751,-0.06358617100014341,
FitGrid minus UMAP,disconnected,0,reference,A_spiral,-0.035782108945527136,0.10375055413766171,0.09225083240863019,
FitGrid minus UMAP,disconnected,0,reference,B_tree,-0.0022522522522522292,-0.060135685580128884,-0.17253431139926992,
FitGrid minus UMAP,disconnected,0,reference,C_ellipse,-0.04292853573213384,0.10626760059787155,-0.1106383745501191,
FitGrid minus UMAP,disconnected,0,reference,B_branch_0,0.00666666666666671,0.040964859438882895,-0.1087188247013446,
FitGrid minus UMAP,disconnected,0,reference,B_branch_1,0.003529411764706003,-0.17363830573069033,-0.2103677734069221,
FitGrid minus UMAP,disconnected,0,reference,B_branch_2,-0.007843137254901933,-0.04284544885218522,-0.34575455261857474,
FitGrid minus UMAP,disconnected,0,reference,B_branch_3,-0.00691823899371069,-0.05424221077583541,-0.1740581916199121,
FitGrid minus UMAP,disconnected,0,reference,B_branch_4,-0.009278350515463996,-0.004397300575050611,-0.1443657690515648,
FitGrid minus UMAP,disconnected,0,reference,B_branch_5,-0.00584192439862552,0.025212104589404094,0.005377354084756397,
FitGrid minus UMAP,disconnected,0,reference,B_branch_6,0.004402515723270439,-0.20382496654221421,-0.24453504616164498,
FitGrid minus UMAP,disconnected,0,query,all,-0.0354000000000001,0.061290111735012476,-0.0757037028463667,
FitGrid minus UMAP,disconnected,0,query,internal,-0.0354000000000001,0.061290111735012476,-0.0757037028463667,
FitGrid minus UMAP,disconnected,0,query,A_spiral,-0.038280859570214765,0.0914992257258603,0.09330955707346039,
FitGrid minus UMAP,disconnected,0,query,B_tree,-0.0049049049049049165,-0.02883992641321459,-0.1811289196744236,
FitGrid minus UMAP,disconnected,0,query,C_ellipse,-0.06296851574212914,0.12107590839891591,-0.1394498047339811,
FitGrid minus UMAP,disconnected,0,query,B_branch_0,-0.017777777777777892,0.06493725282483714,-0.1218771421815868,
FitGrid minus UMAP,disconnected,0,query,B_branch_1,0.007058823529411784,-0.1298044009933042,-0.21104702300794748,
FitGrid minus UMAP,disconnected,0,query,B_branch_2,-0.01098039215686275,-0.037066976189186585,-0.3405639720346313,
FitGrid minus UMAP,disconnected,0,query,B_branch_3,-0.01132075471698113,0.00537377623614782,-0.1752593330572909,
FitGrid minus UMAP,disconnected,0,query,B_branch_4,-0.0013745704467353903,0.036784417670522596,-0.1464158571154482,
FitGrid minus UMAP,disconnected,0,query,B_branch_5,-0.0006872852233675841,0.014629167220629069,-0.022023267793418302,
FitGrid minus UMAP,disconnected,0,query,B_branch_6,0.0006289308176097297,-0.1549473084943196,-0.2628292330940682,
FitGrid minus UMAP,disconnected,1,reference,all,-0.016383333333333416,0.020862043981993483,-0.0094445465050179,
FitGrid minus UMAP,disconnected,1,reference,internal,-0.016383333333333416,0.020862043981993483,-0.0094445465050179,
FitGrid minus UMAP,disconnected,1,reference,A_spiral,-0.01934032983508238,0.053914946994026214,0.021109574283495497,
FitGrid minus UMAP,disconnected,1,reference,B_tree,-0.00315315315315301,-0.00900861211876508,-0.04774904158289359,
FitGrid minus UMAP,disconnected,1,reference,C_ellipse,-0.026636681659170325,0.01763501347836477,-0.0017516002442582168,
FitGrid minus UMAP,disconnected,1,reference,B_branch_0,0.0033333333333330772,0.05442497129975932,-0.1571842803472962,
FitGrid minus UMAP,disconnected,1,reference,B_branch_1,-0.0074509803921568585,-0.18223718118001803,-0.2184488223260202,
FitGrid minus UMAP,disconnected,1,reference,B_branch_2,-0.014117647058823568,0.030028671368360904,0.026664749867248427,
