method,query_index,recall_at_5,recall_at_10,recall_at_15,recall_at_30,ndcg,fuzzy_weighted_mse,fuzzy_weighted_bce,local_displacement,repulsion_accumulation_score,periphery_percentile,label
standard_umap,41,1.0,0.8,0.6666666666666666,0.7,0.7873395292840664,0.01412704484586547,0.0755804833525644,0.17900421907680147,0.31330835819244385,12.962962962962962,12
standard_umap,42,0.6,0.7,0.7333333333333333,0.7,0.7880123559288972,0.04029104093128837,0.20177835094277025,0.7143275894328222,0.3202802836894989,5.555555555555555,12
standard_umap,43,0.6,0.8,0.8,0.7666666666666667,0.8367117608778891,0.01071878174809976,0.07329086205031624,0.3619424992726349,0.49312281608581543,33.33333333333333,12
standard_umap,44,0.4,0.7,0.7333333333333333,0.9666666666666667,0.9777554718820064,0.03046496117985099,0.16850401858541497,1.6556218395368787,0.9342461228370667,100.0,12
standard_umap,45,0.6,0.9,1.0,0.7666666666666667,0.8318366200203072,0.0025718988556308465,0.0385464654505757,0.2799467261361881,0.25466033816337585,61.111111111111114,12
standard_umap,46,0.8,0.8,0.8666666666666667,0.8666666666666667,0.8943327774849112,0.003573293463414233,0.053537074280333205,0.9029501518695139,0.7672946453094482,100.0,12
standard_umap,47,0.8,0.8,0.8666666666666667,0.8666666666666667,0.8976219646289789,0.004359974555394371,0.05299186205076593,0.8075124974589781,0.7038178443908691,94.44444444444444,12
standard_umap,48,0.0,0.7,0.8666666666666667,0.8666666666666667,0.884495252583932,0.010597922895506814,0.09138899365617786,1.3489919954900722,0.8772404789924622,100.0,12
standard_umap,49,0.0,0.4,0.7333333333333333,0.9,0.9233916621717391,0.01060781434820523,0.09278378838550672,0.8844381688260878,0.3149937391281128,74.07407407407408,12
standard_umap,50,0.6,0.9,0.8666666666666667,0.8333333333333334,0.8732178708055249,0.01126960672865453,0.08429024049897778,0.5722295122376215,0.7194121479988098,74.07407407407408,12
standard_umap,51,0.8,0.8,0.8,0.8333333333333334,0.8826678205339803,0.036224193103769474,0.19319858547167418,0.1547051431075257,0.25156664848327637,0.0,12
standard_umap,52,0.4,0.7,0.9333333333333333,0.8666666666666667,0.9077394816539871,0.0021183363399630405,0.028425197437039633,0.3928323124589407,0.32912543416023254,66.66666666666666,12
standard_umap,53,0.4,0.5,0.6,1.0,1.0,0.012181970051476827,0.08259613309238326,0.5072027399841131,0.5669966340065002,75.92592592592592,12
standard_umap,54,0.8,0.9,0.8,0.6666666666666666,0.7588271115756824,0.04054541576093269,0.23871812116529345,0.22217672447563924,0.7040193676948547,98.14814814814815,13
standard_umap,55,0.6,0.7,0.8,0.8333333333333334,0.8479132953395321,0.012917726054777852,0.10224255896027036,1.9309622399878839,0.9860435128211975,62.96296296296296,13
standard_umap,56,0.2,0.4,0.7333333333333333,0.9,0.9325818901337425,0.008784584877340126,0.08801193503296939,1.6303539675815006,0.6720553040504456,5.555555555555555,13
standard_umap,57,0.4,0.9,0.8666666666666667,0.8333333333333334,0.878565336801396,0.0025386460063982516,0.042423570633004906,0.6322590875102234,0.579806923866272,9.25925925925926,13
standard_umap,58,0.4,0.7,0.7333333333333333,0.9,0.9320412344803242,0.0049825594026528626,0.06476073146174595,0.6992746771273372,0.49290555715560913,7.4074074074074066,13
standard_umap,59,0.8,0.9,0.6666666666666666,0.7333333333333333,0.7964054360049095,0.013461034099304587,0.10108282836373426,0.7547126083208454,0.7282558679580688,57.407407407407405,13
standard_umap,60,1.0,0.8,0.8,0.8333333333333334,0.8774061571168844,0.004122729980690213,0.029566322831033887,0.13535590816836604,0.24062024056911469,74.07407407407408,13
standard_umap,61,0.8,1.0,0.9333333333333333,0.8666666666666667,0.9020779584971564,0.003472566168890356,0.026461544273643556,0.38765052288746477,0.7927436232566833,96.29629629629629,13
standard_umap,62,0.8,0.7,0.6666666666666666,0.7666666666666667,0.8161800846412437,0.03674294713165808,0.20433443350995198,0.2926118092714577,0.2692415714263916,74.07407407407408,13
standard_umap,63,0.0,0.7,0.9333333333333333,0.8333333333333334,0.885515810246238,0.007471839195041091,0.06580548613175832,0.7184296910412851,0.621645450592041,79.62962962962963,13
standard_umap,64,1.0,0.8,0.8,0.8333333333333334,0.8848583521398272,0.01628695573486102,0.11744171276064853,0.7681644180168302,0.7623727321624756,70.37037037037037,13
standard_umap,65,0.2,0.5,0.8,0.8666666666666667,0.902382930537799,0.014736378431671086,0.11276309576660588,1.507615871610791,0.9121372699737549,62.96296296296296,13
standard_umap,66,0.4,0.7,0.8666666666666667,0.9333333333333333,0.9552869883833249,0.0029023608849989744,0.04720163486229965,0.6629001157556711,0.4123408794403076,0.0,13
standard_umap,67,0.0,0.3,0.6666666666666666,0.7333333333333333,0.8075005512294817,0.012039294395114732,0.10842675401285926,1.3642616709575939,0.8537932634353638,25.925925925925924,13
standard_umap,68,0.2,0.6,0.8,0.8666666666666667,0.909626254321903,0.005060210620247336,0.0646371550269125,0.5162400811682881,0.3460802435874939,9.25925925925926,13
standard_umap,69,1.0,0.6,0.6666666666666666,0.8333333333333334,0.8581644746577726,0.013632135595450182,0.08164225121641328,0.4071691020170528,0.6088413000106812,62.96296296296296,13
standard_umap,70,0.6,0.9,0.8666666666666667,0.7666666666666667,0.828099295962548,0.014701813617486506,0.0822873739959999,0.7687972955569699,0.8399962782859802,98.14814814814815,13
standard_umap,71,0.8,0.8,0.6666666666666666,0.6333333333333333,0.7330233871665087,0.04063317781366775,0.237640401726075,0.28227167391098007,0.7694612145423889,74.07407407407408,13
standard_umap,72,0.2,0.7,0.8666666666666667,0.8,0.8643725870518096,0.01062889482167219,0.08659753165180788,1.1983913826637866,0.8552354574203491,100.0,14
standard_umap,73,0.4,0.7,0.7333333333333333,0.9333333333333333,0.9531653624877179,0.01951691169920902,0.12391832990464682,0.5009372021482938,0.3082837760448456,37.03703703703704,14
standard_umap,74,0.4,0.7,0.9333333333333333,0.9333333333333333,0.9534913342081776,0.006297175548453098,0.0660735756921564,0.7477897163654235,0.673244297504425,98.14814814814815,14
standard_umap,75,0.6,0.9,0.8666666666666667,0.9333333333333333,0.9534884985772698,0.015122923830366014,0.10522791011227063,0.25321516881931155,0.275103896856308,22.22222222222222,14
standard_umap,76,0.4,0.7,0.9333333333333333,0.9666666666666667,0.9779678763239384,0.0026732520054085513,0.0442892662401629,0.7192642064992203,0.665282666683197,70.37037037037037,14
standard_umap,77,0.0,0.6,0.8666666666666667,1.0,1.0,0.0033538825134311013,0.049014891149736096,0.29394124785304115,0.2530715763568878,40.74074074074074,14
