method,bin_left,bin_right,count,fraction,total_weights,zero_count,positive_underflow_count,overflow_count,shape,layout
dual_raw_is,7943.282347242822,10000.0,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,10000.0,12589.254117941713,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,12589.254117941713,15848.931924611174,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,15848.931924611174,19952.62314968883,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,19952.62314968883,25118.86431509582,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,25118.86431509582,31622.776601683792,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,31622.776601683792,39810.71705534986,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,39810.71705534986,50118.72336272735,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,50118.72336272735,63095.73444801943,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,63095.73444801943,79432.82347242821,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,79432.82347242821,100000.0,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,1e-06,1.2589254117941661e-06,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,1.2589254117941661e-06,1.584893192461114e-06,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,1.584893192461114e-06,1.9952623149688787e-06,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,1.9952623149688787e-06,2.5118864315095823e-06,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,2.5118864315095823e-06,3.162277660168379e-06,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,3.162277660168379e-06,3.981071705534969e-06,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,3.981071705534969e-06,5.011872336272725e-06,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,5.011872336272725e-06,6.30957344480193e-06,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,6.30957344480193e-06,7.943282347242822e-06,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,7.943282347242822e-06,9.999999999999999e-06,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,9.999999999999999e-06,1.2589254117941661e-05,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,1.2589254117941661e-05,1.584893192461114e-05,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,1.584893192461114e-05,1.9952623149688786e-05,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,1.9952623149688786e-05,2.5118864315095822e-05,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,2.5118864315095822e-05,3.1622776601683795e-05,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,3.1622776601683795e-05,3.9810717055349695e-05,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,3.9810717055349695e-05,5.011872336272725e-05,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,5.011872336272725e-05,6.309573444801929e-05,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,6.309573444801929e-05,7.943282347242822e-05,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,7.943282347242822e-05,0.0001,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.0001,0.00012589254117941674,1069,0.0003340625,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.00012589254117941674,0.00015848931924611142,5475,0.0017109375,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.00015848931924611142,0.0001995262314968881,12939,0.0040434375,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.0001995262314968881,0.0002511886431509582,35460,0.01108125,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.0002511886431509582,0.00031622776601683794,31016,0.0096925,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.00031622776601683794,0.00039810717055349735,33737,0.0105428125,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.00039810717055349735,0.0005011872336272725,41393,0.0129353125,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.0005011872336272725,0.0006309573444801936,35781,0.0111815625,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.0006309573444801936,0.0007943282347242822,24748,0.00773375,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.0007943282347242822,0.001,16252,0.00507875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.001,0.0012589254117941675,10099,0.0031559375,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.0012589254117941675,0.001584893192461114,7078,0.002211875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.001584893192461114,0.0019952623149688807,6975,0.0021796875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.0019952623149688807,0.002511886431509582,9801,0.0030628125,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.002511886431509582,0.0031622776601683794,16870,0.005271875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.0031622776601683794,0.003981071705534973,31916,0.00997375,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.003981071705534973,0.005011872336272725,49072,0.015335,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.005011872336272725,0.006309573444801936,70454,0.022016875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.006309573444801936,0.00794328234724282,95855,0.0299546875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.00794328234724282,0.01,117462,0.036706875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.01,0.012589254117941687,129078,0.040336875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.012589254117941687,0.01584893192461114,139458,0.043580625,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.01584893192461114,0.01995262314968879,143978,0.044993125,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.01995262314968879,0.025118864315095822,143483,0.0448384375,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.025118864315095822,0.03162277660168379,142809,0.0446278125,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.03162277660168379,0.039810717055349776,136481,0.0426503125,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.039810717055349776,0.05011872336272725,129848,0.0405775,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.05011872336272725,0.06309573444801943,122580,0.03830625,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.06309573444801943,0.07943282347242822,113311,0.0354096875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.07943282347242822,0.1,105050,0.032828125,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.1,0.12589254117941687,97070,0.030334375,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.12589254117941687,0.1584893192461114,89950,0.028109375,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.1584893192461114,0.19952623149688828,82630,0.025821875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.19952623149688828,0.25118864315095824,77226,0.024133125,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_hub_is,0.25118864315095824,0.31622776601683794,72518,0.022661875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
