split,group,n,recall5,recall15,within_recall5,within_recall15,log_radius5,log_radius15,abs_log_radius5,abs_log_radius15,within_log_radius15,within_abs_log_radius15,wrong_turn15,wrong_branch15,bridge_near_recall15,bridge_edge_loss15,bridge_true_edges15,bridge_cross_edge_loss15,bridge_cross_true_edges15,log_radius15_q10,log_radius15_q90,scale,method,condition,stage
reference,B_branch_4,194,0.6144329896907216,0.7907216494845362,0.6144329896907216,0.7907216494845362,-0.4373883181390941,0.14387827839707618,0.5361643327053124,0.35243476891624637,0.14387827839707618,0.35243476891624637,0.0,0.0,,,0,,0,-0.3536270527771407,0.573674797776291,0.6378167077271842,umap,disconnected,1.0
reference,B_branch_5,194,0.5804123711340206,0.7508591065292096,0.5804123711340206,0.7508591065292096,-0.5608924193604131,0.05666346079067301,0.6421980228423713,0.2730164280047792,0.05666346079067301,0.2730164280047792,0.0,0.0,,,0,,0,-0.4128679711883826,0.48402638281708144,0.6378167077271842,umap,disconnected,1.0
reference,B_branch_6,212,0.5924528301886792,0.7547169811320755,0.5924528301886792,0.7547169811320755,-0.30850663233917686,0.2618759325372172,0.44782884813529555,0.44724833347198956,0.2618759325372172,0.44724833347198956,0.0,0.0,,,0,,0,-0.31530457884914403,0.6868552847074251,0.6378167077271842,umap,disconnected,1.0
query,all,1333,0.6112528132033008,0.8402100525131283,0.6112528132033008,0.8402100525131283,-0.4888603997747149,0.012220516834807776,0.5620607222092016,0.25267174427434724,0.012220516834807776,0.25267174427434724,0.0,0.0,,,0,,0,-0.3287103714080246,0.454804030543653,0.6378167077271842,umap,disconnected,1.0
query,internal,1333,0.6112528132033008,0.8402100525131283,0.6112528132033008,0.8402100525131283,-0.4888603997747149,0.012220516834807776,0.5620607222092016,0.25267174427434724,0.012220516834807776,0.25267174427434724,0.0,0.0,,,0,,0,-0.3287103714080246,0.454804030543653,0.6378167077271842,umap,disconnected,1.0
query,A_spiral,667,0.6917541229385307,0.9260369815092455,0.6917541229385307,0.9260369815092455,-0.6162676901550033,-0.14138889983152628,0.6222804551569923,0.1753249724812591,-0.14138889983152628,0.1753249724812591,0.0,0.0,,,0,,0,-0.3373571910270368,0.06663943142962916,0.6378167077271842,umap,disconnected,1.0
query,B_tree,666,0.5306306306306307,0.7542542542542543,0.5306306306306307,0.7542542542542543,-0.3612618071566184,0.16606057827091109,0.5017505692419699,0.330134652361419,0.16606057827091109,0.330134652361419,0.0,0.0,,,0,,0,-0.30456214158176576,0.5977183148263983,0.6378167077271842,umap,disconnected,1.0
query,B_branch_0,90,0.5355555555555556,0.757037037037037,0.5355555555555556,0.757037037037037,-0.45062969395482544,0.08243932878634688,0.5690406122638856,0.29049398064686477,0.08243932878634688,0.29049398064686477,0.0,0.0,,,0,,0,-0.3032819645929645,0.5923500999908281,0.6378167077271842,umap,disconnected,1.0
query,B_branch_1,85,0.5529411764705883,0.7513725490196078,0.5529411764705883,0.7513725490196078,-0.13780996569362058,0.36478578605001954,0.3324500368031582,0.37585475705618193,0.36478578605001954,0.37585475705618193,0.0,0.0,,,0,,0,0.05080835257397364,0.7041429947729726,0.6378167077271842,umap,disconnected,1.0
query,B_branch_2,85,0.5105882352941177,0.7349019607843136,0.5105882352941177,0.7349019607843136,-0.3433095068882277,0.2742455834062387,0.4264024986314826,0.3138445124638548,0.2742455834062387,0.3138445124638548,0.0,0.0,,,0,,0,-0.07779719179221344,0.6744868795075014,0.6378167077271842,umap,disconnected,1.0
query,B_branch_3,106,0.5245283018867926,0.7591194968553457,0.5245283018867926,0.7591194968553457,-0.46472600284290383,0.10197072127047374,0.5894538056352607,0.33165977556764153,0.10197072127047374,0.33165977556764153,0.0,0.0,,,0,,0,-0.39797780415842743,0.5509747953387467,0.6378167077271842,umap,disconnected,1.0
query,B_branch_4,97,0.5134020618556702,0.7587628865979381,0.5134020618556702,0.7587628865979381,-0.4321526208748544,0.09092376314548775,0.567960088811715,0.3247369647960482,0.09092376314548775,0.3247369647960482,0.0,0.0,,,0,,0,-0.4190716954554733,0.5510497316701382,0.6378167077271842,umap,disconnected,1.0
query,B_branch_5,97,0.5628865979381443,0.7683848797250857,0.5628865979381443,0.7683848797250857,-0.40214894271148144,0.048569028399003907,0.5780125751081356,0.29464558598324037,0.048569028399003907,0.29464558598324037,0.0,0.0,,,0,,0,-0.43247990472092523,0.4482561044196335,0.6378167077271842,umap,disconnected,1.0
query,B_branch_6,106,0.5169811320754717,0.747798742138365,0.5169811320754717,0.747798742138365,-0.2732106412423966,0.2313154896168651,0.4227198745461756,0.37608244027851995,0.2313154896168651,0.37608244027851995,0.0,0.0,,,0,,0,-0.20791557252813142,0.6420130761567864,0.6378167077271842,umap,disconnected,1.0
reference,all,2666,0.6496624156039009,0.7023505876469117,0.6565641410352587,0.7132033008252063,0.101722993920764,0.15197756724205552,0.8841924686759056,0.8518226903910816,0.16516903135656993,0.8562134044915147,0.06986746686671667,0.010527631907976993,,,0,,0,-1.017185271787448,1.4510315556866904,2.3432890041110275,baseline_3_to_2,disconnected,0.0
reference,internal,2666,0.6496624156039009,0.7023505876469117,0.6565641410352587,0.7132033008252063,0.101722993920764,0.15197756724205552,0.8841924686759056,0.8518226903910816,0.16516903135656993,0.8562134044915147,0.06986746686671667,0.010527631907976993,,,0,,0,-1.017185271787448,1.4510315556866904,2.3432890041110275,baseline_3_to_2,disconnected,0.0
reference,A_spiral,1334,0.5580209895052473,0.6280359820089955,0.5596701649175412,0.6335332333833084,-0.7425641102343365,-0.6705065244895039,0.7484266229935376,0.6933293305566687,-0.6631244219847923,0.6859493627241071,0.13963018490754622,0.0,,,0,,0,-1.4414050668624534,-0.009565546054939814,2.3432890041110275,baseline_3_to_2,disconnected,0.0
reference,B_tree,1332,0.7414414414414414,0.7767767767767767,0.7536036036036036,0.792992992992993,0.9472777964304517,0.9756966200723111,1.020162166979418,1.010554028243264,0.994706168561808,1.0267330979732876,0.0,0.02107107107107107,,,0,,0,0.014519895834319629,1.5028857715338597,2.3432890041110275,baseline_3_to_2,disconnected,0.0
reference,B_branch_0,180,0.7199999999999999,0.7459259259259259,0.7199999999999999,0.7459259259259259,1.3940869196206156,1.3968948004721429,1.3940869196206156,1.3968948004721429,1.3968948004721429,1.3968948004721429,0.0,0.0,,,0,,0,1.2361503699634548,1.5460605072156237,2.3432890041110275,baseline_3_to_2,disconnected,0.0
reference,B_branch_1,170,0.7258823529411764,0.7494117647058823,0.8058823529411765,0.8462745098039216,1.088836090402902,1.1144890918356243,1.1386753528639966,1.1366667254098517,1.2275229739388298,1.2275229739388298,0.0,0.0,,,0,,0,0.33357955970206365,1.4865464546390799,2.3432890041110275,baseline_3_to_2,disconnected,0.0
