condition,method,stage,split,k,recall
sparse_bridge,baseline_3_to_2,0.5,reference,15,0.4727136431784108
sparse_bridge,baseline_3_to_2,0.5,reference,50,0.6988305847076461
sparse_bridge,baseline_3_to_2,0.5,reference,100,0.6638530734632684
sparse_bridge,baseline_3_to_2,0.5,reference,200,0.6587706146926537
sparse_bridge,baseline_3_to_2,0.5,reference,400,0.725417916041979
sparse_bridge,baseline_3_to_2,0.5,query,5,0.2353823088455772
sparse_bridge,baseline_3_to_2,0.5,query,15,0.5236381809095452
sparse_bridge,baseline_3_to_2,0.5,query,50,0.7391904047976011
sparse_bridge,baseline_3_to_2,0.5,query,100,0.6799700149925036
sparse_bridge,baseline_3_to_2,0.5,query,200,0.6634032983508246
sparse_bridge,baseline_3_to_2,0.5,query,400,0.7273050974512744
sparse_bridge,baseline_3_to_2,0.75,reference,5,0.20644677661169414
sparse_bridge,baseline_3_to_2,0.75,reference,15,0.6309345327336332
sparse_bridge,baseline_3_to_2,0.75,reference,50,0.8217391304347826
sparse_bridge,baseline_3_to_2,0.75,reference,100,0.7126086956521739
sparse_bridge,baseline_3_to_2,0.75,reference,200,0.6924400299850075
sparse_bridge,baseline_3_to_2,0.75,reference,400,0.7437256371814092
sparse_bridge,baseline_3_to_2,0.75,query,5,0.29865067466266865
sparse_bridge,baseline_3_to_2,0.75,query,15,0.7095452273863069
sparse_bridge,baseline_3_to_2,0.75,query,50,0.8466566716641679
sparse_bridge,baseline_3_to_2,0.75,query,100,0.7228335832083957
sparse_bridge,baseline_3_to_2,0.75,query,200,0.6941379310344827
sparse_bridge,baseline_3_to_2,0.75,query,400,0.7446101949025486
sparse_bridge,baseline_3_to_2,1.0,reference,5,0.7572713643178409
sparse_bridge,baseline_3_to_2,1.0,reference,15,0.8878560719640181
sparse_bridge,baseline_3_to_2,1.0,reference,50,0.8848125937031486
sparse_bridge,baseline_3_to_2,1.0,reference,100,0.736064467766117
sparse_bridge,baseline_3_to_2,1.0,reference,200,0.7044227886056972
sparse_bridge,baseline_3_to_2,1.0,reference,400,0.7507627436281858
sparse_bridge,baseline_3_to_2,1.0,query,5,0.7151424287856071
sparse_bridge,baseline_3_to_2,1.0,query,15,0.8873563218390806
sparse_bridge,baseline_3_to_2,1.0,query,50,0.8880659670164918
sparse_bridge,baseline_3_to_2,1.0,query,100,0.7407946026986507
sparse_bridge,baseline_3_to_2,1.0,query,200,0.7044827586206897
sparse_bridge,baseline_3_to_2,1.0,query,400,0.7507233883058471
sparse_bridge,direct_2,0.0,reference,5,0.4770614692653673
sparse_bridge,direct_2,0.0,reference,15,0.4917541229385307
sparse_bridge,direct_2,0.0,reference,50,0.453328335832084
sparse_bridge,direct_2,0.0,reference,100,0.4269790104947526
sparse_bridge,direct_2,0.0,reference,200,0.4579160419790104
sparse_bridge,direct_2,0.0,reference,400,0.5914598950524738
sparse_bridge,direct_2,0.0,query,5,0.4788605697151424
sparse_bridge,direct_2,0.0,query,15,0.5120439780109945
sparse_bridge,direct_2,0.0,query,50,0.463448275862069
sparse_bridge,direct_2,0.0,query,100,0.4351574212893553
sparse_bridge,direct_2,0.0,query,200,0.46134932533733136
sparse_bridge,direct_2,0.0,query,400,0.5916829085457271
sparse_bridge,direct_2,0.25,reference,5,0.09865067466266868
sparse_bridge,direct_2,0.25,reference,15,0.24642678660669667
sparse_bridge,direct_2,0.25,reference,50,0.43200899550224886
sparse_bridge,direct_2,0.25,reference,100,0.48185157421289354
sparse_bridge,direct_2,0.25,reference,200,0.5839130434782609
sparse_bridge,direct_2,0.25,reference,400,0.7202829835082458
sparse_bridge,direct_2,0.25,query,5,0.1232383808095952
sparse_bridge,direct_2,0.25,query,15,0.29645177411294354
sparse_bridge,direct_2,0.25,query,50,0.48260869565217396
sparse_bridge,direct_2,0.25,query,100,0.5144527736131934
sparse_bridge,direct_2,0.25,query,200,0.597496251874063
sparse_bridge,direct_2,0.25,query,400,0.7281259370314842
sparse_bridge,direct_2,0.5,reference,5,0.14527736131934033
sparse_bridge,direct_2,0.5,reference,15,0.39430284857571213
sparse_bridge,direct_2,0.5,reference,50,0.6368215892053973
sparse_bridge,direct_2,0.5,reference,100,0.6432458770614692
sparse_bridge,direct_2,0.5,reference,200,0.667732383808096
